"","PlayerName","Pos","Thr","Age","AAV_Pred","K/9","BB/9","LOB%","GB%","HR/FB","ERA","FIP"
"1","Aaron Nola","SP","R",31,32281814.1,10.25,1.76,68.8,42.3,13.1,4.09,3.31
"2","Adam Ottavino","RP","R",38,3756130.011,10.08,3.8,80,49.4,11.2,3.14,3.76
"3","Alex Wood","SP","L",33,6458397.87,8.75,2.72,69.3,48.2,12.2,4.41,3.85
"4","Andrew Chafin","RP","L",34,4539246.852,9.85,3.35,74.1,45.2,8.8,2.99,3.31
"5","Aroldis Chapman","RP","L",36,4873549.65,14.48,6.08,77.1,42.5,15,3.52,3.56
"6","Brent Suter","RP","L",34,3902553.478,7.61,3.05,70.2,48.2,10.6,3.4,3.91
"7","Buck Farmer","RP","R",33,4929380.616,9.21,4.29,72.8,36.8,11.8,4.58,4.59
"8","Chris Devenski","RP","R",33,3633829.217,8.25,1.96,57.5,39.6,13.6,5.88,4.39
"9","Chris Flexen","SP","R",29,3730646.951,6.3,2.77,74.1,38.8,11.4,4.44,4.65
"10","Chris Stratton","RP","R",33,5250293.801,9.07,3.32,71.2,41.2,8.4,3.91,3.55
"11","Colin Rea","SP","R",33,4546313.402,7.92,2.62,71.8,42.6,16.9,4.68,4.94
"12","Craig Kimbrel","RP","R",36,5486086.628,12.69,3.77,73.5,35,10.6,3.1,3.19
"13","David Robertson","RP","R",39,5128156.557,11.17,4.09,79,44.3,11.1,2.87,3.57
"14","Frankie Montas","SP","R",31,7992822.942,9.47,2.73,73.1,44.3,12,3.65,3.55
"15","Jack Flaherty","SP","R",28,6916188.328,9.26,3.97,74,41.5,13.5,4.35,4.4
"16","Jake Diekman","RP","L",37,2041129.536,11.62,5.86,71.1,40.5,13.4,4.06,4.41
"17","Jakob Junis","SP","R",31,5059978.363,8.91,2.2,71.6,42.9,12.9,4.36,3.79
"18","James Paxton","SP","L",35,4434358.344,9.52,3.14,74.2,42.7,17.8,4.53,4.65
"19","Jay Jackson","RP","R",36,2970512.459,9.57,3.59,84.4,36.4,11.5,2.73,4.07
"20","Joe Kelly","RP","R",36,4650040.821,12.19,4.19,64,60.3,12.3,4.26,2.96
"21","John Brebbia","RP","R",34,4229011.235,8.88,2.6,72.4,33,8.4,3.83,3.69
"22","Jordan Hicks","SP","R",27,6451938.026,10.12,5.06,69.2,58.9,11.4,4.14,3.72
"23","Josh Hader","RP","L",30,7901653.218,14.62,4.09,82.1,31.8,9.4,2.45,2.56
"24","Kenta Maeda","SP","R",36,7499272.88,9.83,2.56,71.5,35.6,13.6,4.44,4.06
"25","Kirby Yates","RP","R",37,2118718.46,11.5,5.61,85.4,36.4,14.9,3.48,4.9
"26","Kyle Gibson","SP","R",36,9937155.293,7.58,2.77,70.4,48.9,12.6,4.49,4.09
"27","Lance Lynn","SP","R",37,5916763.499,9.56,2.55,72.2,38.2,14.9,4.24,4.33
"28","Luis Severino","SP","R",30,4966807.536,9.08,2.96,72.3,43.2,17.1,4.65,4.74
"29","Luke Weaver","SP","R",30,3467269.495,8.36,2.92,66.9,37,15.1,5.8,4.8
"30","Marcus Stroman","SP","R",33,15278916.05,7.84,2.61,71.5,53,12.5,3.45,3.6
"31","Michael Wacha","SP","R",32,13712770.32,8.13,2.45,76.5,38.3,12.7,3.84,4.16
"32","Nick Martinez","SP","R",33,6130100.877,8.35,3.36,79.1,50.6,14.2,3.45,4.17
"33","Phil Maton","RP","R",31,3066848.223,10.53,3.68,73,40,10.9,3.86,3.85
"34","Ryan Brasier","RP","R",36,4698272.491,8.66,2.42,63.2,43.5,9.9,4.16,3.51
"35","Ryne Stanek","RP","R",32,4184621.995,10.16,4.61,80,34.3,8.8,2.9,3.91
"36","Sean Manaea","SP","L",32,7300156.76,9.45,2.63,70.4,40.3,13.8,4.41,4.02
"37","Seth Lugo","SP","R",34,9260970.455,9.22,2.55,78.5,44.7,13.5,3.56,3.8
"38","Shelby Miller","RP","R",33,4929577.213,9.34,4.82,74.3,35.7,9,3.79,4.16
"39","Wandy Peralta","RP","L",32,3211725.883,7.87,3.79,77.5,56.3,12.7,2.96,4.05
"40","Will Smith","RP","L",34,3706338.323,10.11,3.42,70,32.1,11.2,3.91,3.95
