"","","Team","Rank Payroll","2024 Payroll Proj","2024 Total Payroll","2024 Luxury Tax Proj","Guaranteed %","Arbitration %","Pre-Arbitration %","2025 Commitments","2026 Commitments","2027 Commitments"
"1",1,"ARI",17,143000000,130771716,"$191M","66.1%","24.7%","9.2%","$63M","$61M","$51M"
"2",2,"ATL",7,228000000,221315000,"$270M","85.8%","10.5%","3.7%","$169M","$131M","$104M"
"3",3,"BAL",27,96000000,91978668,"$116M","31.5%","59.1%","9.4%","$2M","$0","$0"
"4",4,"BOS",11,178000000,160058181,"$202M","80.2%","9.8%","9.9%","$101M","$84M","$78M"
"5",5,"CHC",8,222000000,215480000,"$234M","86.7%","8.6%","4.8%","$117M","$102M","$46M"
"6",6,"CHW",15,151000000,124673333,"$130M","73.4%","18.7%","7.9%","$50M","$19M","$15M"
"7",7,"CIN",25,100000000,84648333,"$118M","73.5%","12.0%","14.5%","$30M","$21M","$18M"
"8",8,"CLE",28,96000000,84433928,"$132M","41.2%","42.7%","16.1%","$45M","$54M","$52M"
"9",9,"COL",16,144000000,132185000,"$158M","78.3%","13.7%","8.0%","$86M","$77M","$43M"
"10",10,"DET",23,108000000,94313333,"$121M","80.1%","5.9%","14.0%","$40M","$28M","$28M"
"11",11,"HOU",5,240000000,237303141,"$255M","81.8%","14.3%","3.9%","$117M","$118M","$100M"
"12",12,"KC",13,164000000,106094570,"$213M","73.1%","19.7%","7.2%","$100M","$100M","$58M"
"13",13,"LAA",12,173000000,156918094,"$188M","81.2%","12.0%","6.8%","$108M","$89M","$37M"
"14",14,"LAD",2,302000000,215621666,"$312M","87.5%","11.0%","1.5%","$205M","$178M","$188M"
"15",15,"MIA",24,101000000,86535000,"$120M","49.9%","37.4%","12.7%","$32M","$25M","$5M"
"16",16,"MIL",22,109000000,94484960,"$151M","71.1%","19.2%","9.7%","$50M","$53M","$42M"
"17",17,"MIN",19,127000000,116353690,"$159M","82.7%","9.8%","7.5%","$95M","$71M","$69M"
"18",18,"NYM",1,315000000,283801859,"$328M","83.0%","15.4%","1.5%","$159M","$103M","$89M"
"19",19,"NYY",3,296000000,290541666,"$307M","68.8%","28.1%","3.1%","$182M","$146M","$126M"
"20",20,"OAK",30,59000000,45525000,"$79M","54.8%","16.8%","28.5%","$0","$0","$0"
"21",21,"PHI",4,245000000,237182617,"$261M","87.8%","8.9%","3.3%","$172M","$118M","$79M"
"22",22,"PIT",29,81000000,68014000,"$117M","71.3%","14.0%","14.7%","$35M","$38M","$41M"
"23",23,"SD",14,159000000,144995453,"$216M","86.2%","5.1%","8.7%","$152M","$138M","$156M"
"24",24,"SEA",18,135000000,124158333,"$156M","72.4%","17.3%","10.3%","$91M","$58M","$44M"
"25",25,"SF",20,125000000,144288333,"$136M","71.1%","17.6%","11.3%","$43M","$40M","$5M"
"26",26,"STL",10,184000000,162301667,"$215M","88.3%","5.6%","6.1%","$113M","$75M","$39M"
"27",27,"TB",21,115000000,88458712,"$162M","76.3%","13.9%","9.7%","$49M","$16M","$20M"
"28",28,"TEX",9,220000000,215710000,"$243M","87.8%","8.6%","3.5%","$139M","$96M","$95M"
"29",29,"TOR",6,236000000,222601784,"$249M","70.9%","26.2%","3.0%","$130M","$73M","$33M"
"30",30,"WSH",26,99000000,90171429,"$135M","54.0%","35.9%","10.1%","$58M","$27M","$23M"
