"","Team","HR_Rank2023","OPS_Rank2023","BABIP_Rank2023","wRC+_Rank2023","wOBA_Rank2023","Def_Rank2023","Off_Rank2023"
"1","ATL",1,1,8,1,1,11,1
"2","KC",6,4,5,2,4,20,2
"3","LAD",2,2,17,3,2,16,3
"4","TEX",3,3,3,4,3,2,4
"5","HOU",7,5,18,5,5,17,5
"6","MIN",4,7,10,6,7,19,6
"7","SD",13,13,27,7,12,10,7
"8","BAL",17,14,9,11,14,21,8
"9","PHI",8,6,4,10,6,23,9
"10","SEA",11,16,12,9,16,7,10
"11","CHC",15,8,11,12,8,13,11
"12","TOR",16,11,13,8,10,4,12
"13","STL",12,15,24,13,13,24,13
"14","NYM",10,18,29,15,18,18,14
"15","CIN",14,10,7,17,9,29,15
"16","ARI",22,17,20,18,17,8,16
"17","LAA",5,12,16,14,15,27,17
"18","BOS",18,9,2,16,11,30,18
"19","CLE",30,27,21,22,27,12,19
"20","MIA",23,19,6,20,19,26,20
"21","NYY",9,24,30,19,24,9,21
"22","MIL",24,23,22,24,22,1,22
"23","SF",29,21,19,23,21,22,23
"24","TB",19,26,25,21,25,6,24
"25","PIT",28,22,14,25,23,3,25
"26","OAK",20,30,28,26,29,28,26
"27","DET",25,28,23,27,28,14,27
"28","WSH",26,25,15,28,26,5,28
"29","CHW",21,29,26,29,30,25,29
"30","COL",27,20,1,30,20,15,30
